Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in (Year),Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State, Yearly Revenue , Monthly Sales , Gross Margin , Net Margin ,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped, Original Ask Amount ,Original Offered Equity, Valuation Requested ,Received Offer,Accepted Offer, Total Deal Amount ,Total Deal Equity, Total Deal Debt ,Debt Interest, Deal Valuation ,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity, Namita Investment Amount ,Namita Investment Equity, Namita Debt Amount , Vineeta Investment Amount ,Vineeta Investment Equity, Vineeta Debt Amount , Anupam Investment Amount ,Anupam Investment Equity, Anupam Debt Amount , Aman Investment Amount ,Aman Investment Equity, Aman Debt Amount , Peyush Investment Amount ,Peyush Investment Equity, Peyush Debt Amount , Amit Investment Amount ,Amit Investment Equity, Amit Debt Amount , Ashneer Investment Amount ,Ashneer Investment Equity, Ashneer Debt Amount , Guest Investment Amount ,Guest Investment Equity, Guest Debt Amount ,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present
3,TheRageRoom,23,389,1/22/2024,3/31/2024,2/21/2024,Celebrating Entrepreneurial Breakthroughs,Rahul Dua,Services,Anger Management activities,https://rageroom.in/,2022,1,1,0,0,0,Middle,Hyderabad,Telangana, ? -   , ? -   , ? -   , ? -   ,,No,Unknown,,," ? 2,000,000.00 ",30," ? 6,666,666.67 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,1,0,0,0
1,TheRenalProject,14,41,12/20/2021,2/4/2022,1/6/2022,Naye Aur Nayab Pitchers,Rannvijay Singh,Medical/Health,Home Dialysis Treatment,https://www.therenalproject.com/,2019,1,1,0,0,0,Middle,Mumbai,Maharashtra," ? 30,000,000.00 ", ? -   , ? -   , ? -   ,,No,Unknown,,," ? 10,000,000.00 ",3," ? 333,300,000.00 ",1,1," ? 10,000,000.00 ",6, ? -   ,," ? 166,700,000.00 ",2,,,," ? 5,000,000.00 ",3, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 5,000,000.00 ",3, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,0,1,1,1,0,1,0
1,TheSassBar,24,77,12/20/2021,2/4/2022,1/20/2022,A Decade Of Indian Entrepreneurship,Rannvijay Singh,Beauty/Fashion,Gifts Soaps,https://www.thesassbar.com/,2019,1,0,1,0,0,Young,Mumbai,Maharashtra, ? -   ," ? 700,000.00 "," ? 6,500,000.00 "," ? 5,500,000.00 ",,No,Unknown,,," ? 4,000,000.00 ",8," ? 50,000,000.00 ",1,1," ? 5,000,000.00 ",35, ? -   ,," ? 14,300,000.00 ",2,,,, ? -   ,, ? -   , ? -   ,, ? -   ," ? 2,500,000.00 ",17.5, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 2,500,000.00 ",17.5, ? -   ,Ghazal Alagh,Ghazal Alagh,1,1,1,0,1,0,0,1
3,TheShellHair,32,415,1/22/2024,3/31/2024,3/5/2024,Young Entrepreneurs Make Their Mark,Rahul Dua,Beauty/Fashion,Hair Extensions,https://theshellhair.com/,2020,1,0,1,0,0,Young,Ajmer,Rajasthan," ? 12,000,000.00 "," ? 973,000.00 ", ? -   ," ? 3,500,000.00 ",,No,Unknown,,yes," ? 3,000,000.00 ",3," ? 100,000,000.00 ",1,1," ? 3,000,000.00 ",3, ? -   ,," ? 100,000,000.00 ",1,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 3,000,000.00 ",3, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,Ritesh Aggarwal,1,0,1,1,0,1,0,1
2,TheSimplySalad,7,172,1/2/2023,3/10/2023,1/10/2023,Shaandar Businesses,Rahul Dua,Food,Freshly chopped salads,https://simplysalad.com/,2020,2,1,1,0,0,Young,Ahmedabad,Gujarat, ? -   , ? -   , ? -   , ? -   ,,No,Unknown,,," ? 3,000,000.00 ",10," ? 30,000,000.00 ",1,1," ? 3,000,000.00 ",10, ? -   ,," ? 30,000,000.00 ",2,,,, ? -   ,, ? -   ," ? 1,500,000.00 ",5, ? -   , ? -   ,, ? -   ," ? 1,500,000.00 ",5, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,1,0,0,0
1,TheStatePlate,20,63,12/20/2021,2/4/2022,1/14/2022,A Variety Of Ideas,Rannvijay Singh,Food,Delicacies,https://thestateplate.com/,2020,2,1,1,0,0,Young,"Bangalore,Kolkata","Karnataka,West Bengal", ? -   ," ? 4,000,000.00 "," ? 3,400,000.00 ", ? -   ,,yes,400,,," ? 6,500,000.00 ",2," ? 325,000,000.00 ",1,1," ? 4,000,000.00 ",3," ? 2,500,000.00 ",," ? 133,300,000.00 ",1,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 4,000,000.00 ",3," ? 2,500,000.00 ", ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,0,1,1,1,0,1,0
1,TheYarnBazaar,13,40,12/20/2021,2/4/2022,1/5/2022,Ideas By Young Entrepreneurs,Rannvijay Singh,Manufacturing,Yarn-Trading App Online Marketplace for Yarn,https://theyarnbazaar.com/,2019,1,1,0,0,0,Middle,Mumbai,Maharashtra," ? 18,000,000.00 ", ? -   , ? -   , ? -   ,,No,Unknown,,," ? 5,000,000.00 ",2," ? 250,000,000.00 ",1,1," ? 10,000,000.00 ",10, ? -   ,," ? 100,000,000.00 ",4,,,, ? -   ,, ? -   , ? -   ,, ? -   ," ? 2,500,000.00 ",2.5, ? -   ," ? 2,500,000.00 ",2.5, ? -   ," ? 2,500,000.00 ",2.5, ? -   , ? -   ,, ? -   ," ? 2,500,000.00 ",2.5, ? -   , ? -   ,, ? -   ,Not Present,None,1,0,1,1,1,0,1,0
3,Tiggle,8,343,1/22/2024,3/31/2024,1/31/2024,Entrepreneurial Innovation,Rahul Dua,Food,Chocolate mixes,https://thetiggle.com/,2020,1,0,1,0,0,Young,Agra,Uttar Pradesh," ? 15,000,000.00 "," ? 1,200,000.00 ", ? -   , ? -   ,,No,Unknown,,," ? 5,000,000.00 ",5," ? 100,000,000.00 ",1,1," ? 5,000,000.00 ",20, ? -   ,," ? 25,000,000.00 ",2,,1,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 2,500,000.00 ",10, ? -   ," ? 2,500,000.00 ",10, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,Azhar Iqubal,1,0,1,0,1,1,0,1
2,Tipayi,31,246,1/2/2023,3/10/2023,2/13/2023,Innovations And Investments,Rahul Dua,Manufacturing,Balance Bike for Kids,https://www.vamshycle.com/,2019,1,1,0,0,0,Young,Pune,Maharashtra," ? 2,100,000.00 "," ? 50,000.00 "," ? 3,500,000.00 "," ? 2,600,000.00 ",,No,Unknown,yes,," ? 5,000,000.00 ",10," ? 50,000,000.00 ",1,0, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,1,0,0,0
3,ToffeeCoffeeRoasters,19,378,1/22/2024,3/31/2024,2/15/2024,The Next Big Investment,Rahul Dua,Liquor/Beverages,Coffee brand,https://toffeecoffeeroasters.com/,2019,2,1,1,0,1,Middle,Bangalore,Karnataka," ? 23,000,000.00 "," ? 3,300,000.00 "," ? 6,200,000.00 ", ? -   ,,yes,Unknown,,," ? 6,000,000.00 ",2," ? 300,000,000.00 ",1,1," ? 3,500,000.00 ",2.33," ? 2,500,000.00 ",10," ? 150,214,592.30 ",1,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 3,500,000.00 ",2.33," ? 2,500,000.00 ",Ritesh Aggarwal,"Ritesh Aggarwal,Radhika Gupta",0,1,0,1,1,0,0,2
3,ToHands,25,395,1/22/2024,3/31/2024,2/23/2024,Battle Of The Innovators,Rahul Dua,Technology/Software,App to sync transactions with calculator,https://smart.tohands.in/,2023,3,3,0,0,0,Young,"Erode,Kanpur","Tamil Nadu,Uttar Pradesh", ? -   , ? -   , ? -   , ? -   ,,No,Unknown,,," ? 5,500,000.00 ",1," ? 550,000,000.00 ",1,1," ? 6,000,000.00 ",2, ? -   ,," ? 300,000,000.00 ",2,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 6,000,000.00 ",2, ? -   ,"Varun Dua,Radhika Gupta","Varun Dua,Radhika Gupta",0,1,1,1,0,0,0,2
1,Torch-it,7,20,12/20/2021,2/4/2022,12/28/2021,A Never Give Up Spirit,Rannvijay Singh,Education,Gadgets for visually impaired people,https://mytorchit.com/,2018,1,1,0,0,0,Middle,Ahmedabad,Gujarat," ? 26,000,000.00 "," ? 100,000.00 ", ? -   , ? -   ,,No,Unknown,yes,," ? 7,500,000.00 ",1," ? 750,000,000.00 ",1,0, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,0,0,1,0
